,T,sigma
182,92.16867469879519,9273111.545770243
183,92.61044176706827,9236394.61340074
184,93.05220883534136,9230952.309510605
185,93.49397590361446,9221120.306577574
186,93.93574297188755,9209344.48508633
187,94.37751004016064,9195973.474049492
188,94.81927710843374,9181058.018393017
189,95.26104417670683,9164521.02695604
190,95.70281124497991,9146272.971662614
191,96.144578313253,9126257.416852409
192,96.5863453815261,9104369.468918905
193,97.0281124497992,9080551.137623385
194,97.46987951807229,9054750.149946857
195,97.91164658634538,9026705.106696755
196,98.35341365461848,8996433.570570232
197,98.79518072289157,8964037.975277217
198,99.23694779116465,8928471.436203737
199,99.67871485943775,8890487.317258764
200,100.12048192771084,8849626.794034628
201,100.56224899598394,8805686.261322092
202,101.00401606425703,8758388.68106795
203,101.88755020080322,8652845.991198143
204,102.3293172690763,8593914.964949645
205,102.7710843373494,8530348.497064522
206,103.21285140562249,8461611.00786134
207,103.65461847389558,8386991.727563872
208,104.09638554216868,8305917.7899207035
209,104.53815261044177,8218366.01812646
210,104.97991967871486,8125449.655061191
211,105.42168674698794,8020393.385803427
212,105.86345381526104,7907722.177923199
213,106.30522088353413,7796717.45977227
214,106.74698795180723,7659537.34613295
215,107.18875502008032,7507351.2788851475
216,107.63052208835342,7336588.252050922
217,108.07228915662651,7141900.759188466
218,108.5140562248996,6914499.784174379
219,108.95582329317268,6637863.1708689965
220,109.39759036144578,6272281.68385755
221,109.83935742971887,5615998.76162738
222,109.83935742971887,4797869.115468661
223,109.39759036144578,4103862.27247072
224,108.95582329317268,3700588.277722433
225,108.5140562248996,3386100.065637373
226,108.07228915662651,3120646.1650856966
227,107.63052208835342,2887656.468966968
228,107.18875502008032,2678296.2344241296
229,106.74698795180723,2487148.2688335204
230,106.30522088353413,2310587.4767278004
231,105.86345381526104,2146019.9441332184
232,105.42168674698794,1991461.9449782646
233,104.97991967871486,1845374.5676926156
234,104.53815261044177,1705908.1921370435
235,104.09638554216868,1571668.0824403123
236,103.65461847389558,1441747.291858065
237,103.21285140562249,1314204.0590487237
238,102.7710843373494,1188451.1194850814
239,102.3293172690763,1062563.9993263641
240,101.88755020080322,930334.9201523225
241,101.44578313253012,469344.65799609246
242,101.88755020080322,418192.5447207867
243,102.3293172690763,386969.0957500035
244,102.7710843373494,362472.16874380584
245,103.21285140562249,342808.99290786614
246,103.65461847389558,326092.9922546824
247,104.09638554216868,311371.2838651404
248,104.53815261044177,297797.35798575875
249,104.97991967871486,284979.5535865613
250,105.42168674698794,272424.266737409
251,105.86345381526104,259579.75135971204
252,106.30522088353413,245711.08340834823
253,106.74698795180723,175117.08089188562
254,107.18875502008032,184837.14835254863
255,107.63052208835342,192195.57837094183
256,108.07228915662651,197739.08727837895
257,108.5140562248996,201836.89513240827
258,108.95582329317268,204789.71705112516
259,109.39759036144578,206807.79244600868
260,109.83935742971887,208091.3678596675
261,110.28112449799197,208788.51488415807
262,110.72289156626506,209017.35724954103
263,111.16465863453816,208873.09088334593
264,111.60642570281125,208432.68568300997
265,112.04819277108433,207758.21635878508
266,112.48995983935743,206900.36247243686
267,112.93172690763052,205900.06156928657
268,113.37349397590361,204790.8131172381
269,113.81526104417671,203600.17067428457
270,114.2570281124498,202349.45890437945
271,114.6987951807229,201057.2064096147
272,115.14056224899598,199799.74899393658
273,115.58232931726907,198439.38179497462
274,116.02409638554217,196902.36884876972
275,116.46586345381526,195219.93962197134
276,116.90763052208835,193412.37981272934
277,117.34939759036145,191491.51850149294
278,117.79116465863454,189460.5304466135
279,118.23293172690764,187177.01005833872
280,118.67469879518072,185058.56839874343
281,119.11646586345381,182709.81840953146
282,119.5582329317269,180054.94735402951
283,120.0,177276.68703145845
