mq,lambda1,order
6.800000000000011,5.199999999999999,1.0
6.800000000000011,4.799999999999999,2.0
6.800000000000011,4.999999999999999,2.0
6.800000000000011,5.1,2.0
6.800000000000011,5.1499999999999995,1.0
6.800000000000011,5.124999999999999,1.0
6.800000000000011,5.112499999999999,2.0
6.700000000000012,6.0,1.0
6.700000000000012,5.6,1.0
6.700000000000012,5.199999999999999,1.0
6.700000000000012,4.799999999999999,2.0
6.700000000000012,4.999999999999999,2.0
6.700000000000012,5.1,2.0
6.700000000000012,5.1499999999999995,1.0
6.700000000000012,5.124999999999999,2.0
6.700000000000012,5.137499999999999,1.0
6.600000000000012,6.0,1.0
6.600000000000012,5.6,1.0
6.600000000000012,5.199999999999999,1.0
6.600000000000012,4.799999999999999,2.0
6.600000000000012,4.999999999999999,2.0
6.600000000000012,5.1,2.0
6.600000000000012,5.1499999999999995,1.0
6.600000000000012,5.124999999999999,2.0
6.600000000000012,5.137499999999999,1.0
6.500000000000012,6.0,1.0
6.500000000000012,5.6,1.0
6.500000000000012,5.199999999999999,1.0
6.500000000000012,4.799999999999999,2.0
6.500000000000012,4.999999999999999,2.0
6.500000000000012,5.1,2.0
6.500000000000012,5.1499999999999995,1.0
6.500000000000012,5.124999999999999,2.0
6.500000000000012,5.137499999999999,2.0
6.400000000000013,6.0,1.0
6.400000000000013,5.6,1.0
6.400000000000013,5.199999999999999,1.0
6.400000000000013,4.799999999999999,2.0
6.400000000000013,4.999999999999999,2.0
6.400000000000013,5.1,2.0
6.400000000000013,5.1499999999999995,1.0
6.400000000000013,5.124999999999999,2.0
6.400000000000013,5.137499999999999,2.0
6.300000000000013,6.0,1.0
6.300000000000013,5.6,1.0
6.300000000000013,5.199999999999999,1.0
6.300000000000013,4.799999999999999,2.0
6.300000000000013,4.999999999999999,2.0
6.300000000000013,5.1,2.0
6.300000000000013,5.1499999999999995,2.0
6.300000000000013,5.174999999999999,1.0
6.300000000000013,5.162499999999999,1.0
6.2000000000000135,6.0,1.0
6.2000000000000135,5.6,1.0
6.2000000000000135,5.199999999999999,1.0
6.2000000000000135,4.799999999999999,2.0
6.2000000000000135,4.999999999999999,2.0
6.2000000000000135,5.1,2.0
6.2000000000000135,5.1499999999999995,2.0
6.2000000000000135,5.174999999999999,1.0
6.2000000000000135,5.162499999999999,1.0
6.100000000000014,6.0,1.0
6.100000000000014,5.6,1.0
6.100000000000014,5.199999999999999,1.0
6.100000000000014,4.799999999999999,2.0
6.100000000000014,4.999999999999999,2.0
6.100000000000014,5.1,2.0
6.100000000000014,5.1499999999999995,2.0
6.100000000000014,5.174999999999999,1.0
6.100000000000014,5.162499999999999,1.0
6.000000000000014,6.0,1.0
6.000000000000014,5.6,1.0
6.000000000000014,5.199999999999999,1.0
6.000000000000014,4.799999999999999,2.0
6.000000000000014,4.999999999999999,2.0
6.000000000000014,5.1,2.0
6.000000000000014,5.1499999999999995,1.0
6.000000000000014,5.124999999999999,2.0
6.000000000000014,5.137499999999999,2.0
5.900000000000015,6.0,1.0
5.900000000000015,5.6,1.0
5.900000000000015,5.199999999999999,1.0
5.900000000000015,4.799999999999999,2.0
5.900000000000015,4.999999999999999,2.0
5.900000000000015,5.1,2.0
5.900000000000015,5.1499999999999995,2.0
5.900000000000015,5.174999999999999,1.0
5.900000000000015,5.162499999999999,1.0
5.800000000000015,6.0,1.0
5.800000000000015,5.6,1.0
5.800000000000015,5.199999999999999,1.0
5.800000000000015,4.799999999999999,2.0
5.800000000000015,4.999999999999999,2.0
5.800000000000015,5.1,2.0
5.800000000000015,5.1499999999999995,1.0
5.800000000000015,5.124999999999999,2.0
5.800000000000015,5.137499999999999,2.0
5.700000000000015,6.0,1.0
5.700000000000015,5.6,1.0
5.700000000000015,5.199999999999999,1.0
5.700000000000015,4.799999999999999,2.0
5.700000000000015,4.999999999999999,2.0
5.700000000000015,5.1,2.0
5.700000000000015,5.1499999999999995,2.0
5.700000000000015,5.174999999999999,1.0
5.700000000000015,5.162499999999999,2.0
5.600000000000016,6.0,1.0
5.600000000000016,5.6,1.0
5.600000000000016,5.199999999999999,1.0
5.600000000000016,4.799999999999999,2.0
5.600000000000016,4.999999999999999,2.0
5.600000000000016,5.1,2.0
5.600000000000016,5.1499999999999995,2.0
5.600000000000016,5.174999999999999,1.0
5.600000000000016,5.162499999999999,1.0
5.500000000000016,6.0,1.0
5.500000000000016,5.6,1.0
5.500000000000016,5.199999999999999,1.0
5.500000000000016,4.799999999999999,2.0
5.500000000000016,4.999999999999999,2.0
5.500000000000016,5.1,2.0
5.500000000000016,5.1499999999999995,2.0
5.500000000000016,5.174999999999999,2.0
5.500000000000016,5.187499999999999,1.0
5.400000000000016,6.0,1.0
5.400000000000016,5.6,1.0
5.400000000000016,5.199999999999999,1.0
5.400000000000016,4.799999999999999,2.0
5.400000000000016,4.999999999999999,2.0
5.400000000000016,5.1,2.0
5.400000000000016,5.1499999999999995,2.0
5.400000000000016,5.174999999999999,1.0
5.400000000000016,5.162499999999999,2.0
5.300000000000017,6.0,1.0
5.300000000000017,5.6,1.0
5.300000000000017,5.199999999999999,1.0
5.300000000000017,4.799999999999999,2.0
5.300000000000017,4.999999999999999,2.0
5.300000000000017,5.1,2.0
