,mu,Tc,order
170,855,56.77083333333333,1.0
171,860,56.041666666666664,1.0
172,865,56.041666666666664,1.0
173,870,54.58333333333333,1.0
174,875,54.58333333333333,1.0
175,880,53.854166666666664,1.0
176,885,53.125,1.0
177,890,53.125,1.0
178,895,51.666666666666664,1.0
179,900,51.666666666666664,1.0
180,905,50.9375,1.0
181,910,50.20833333333333,1.0
182,915,50.20833333333333,1.0
183,920,48.75,1.0
184,925,48.75,1.0
185,930,48.02083333333333,1.0
186,935,47.291666666666664,1.0
187,940,47.291666666666664,1.0
188,945,46.31944444444444,1.0
189,950,45.833333333333336,1.0
190,955,45.833333333333336,1.0
191,960,44.375,1.0
192,965,44.236111111111114,1.0
193,970,43.75,1.0
194,975,43.75,1.0
195,980,42.291666666666664,1.0
196,985,42.291666666666664,1.0
197,990,42.291666666666664,1.0
198,995,40.833333333333336,1.0
199,1000,40.833333333333336,1.0
200,1005,40.833333333333336,1.0
201,1010,39.375,1.0
202,1015,40.20833333333333,1.0
203,1020,38.75,1.0
204,1025,38.75,1.0
205,1030,38.75,1.0
206,1035,37.291666666666664,1.0
207,1040,37.291666666666664,1.0
208,1045,37.291666666666664,1.0
209,1050,35.833333333333336,1.0
210,1055,35.833333333333336,1.0
211,1060,35.833333333333336,1.0
212,1065,35.833333333333336,1.0
213,1070,34.375,1.0
214,1075,33.75,1.0
215,1080,33.75,1.0
216,1085,33.75,1.0
217,1090,33.75,1.0
218,1095,32.291666666666664,1.0
219,1100,32.291666666666664,1.0
220,1105,32.291666666666664,1.0
221,1110,32.291666666666664,1.0
222,1115,30.833333333333332,1.0
223,1120,30.833333333333332,1.0
224,1125,30.833333333333332,1.0
225,1130,30.833333333333332,1.0
226,1135,29.375,1.0
227,1140,28.75,1.0
228,1145,28.75,1.0
229,1150,28.75,1.0
230,1155,28.75,1.0
231,1160,28.75,1.0
232,1165,27.291666666666664,1.0
233,1170,27.291666666666664,1.0
234,1175,27.291666666666664,1.0
235,1180,27.291666666666664,1.0
236,1185,25.833333333333332,1.0
237,1190,25.833333333333332,1.0
238,1195,25.833333333333332,1.0
239,1200,25.833333333333332,1.0
240,1205,25.833333333333332,1.0
241,1210,24.375,1.0
242,1215,25.208333333333332,1.0
243,1220,23.75,1.0
244,1225,23.75,1.0
245,1230,23.75,1.0
246,1235,23.75,1.0
247,1240,23.75,1.0
248,1245,22.291666666666664,1.0
249,1250,22.291666666666664,1.0
250,1255,22.291666666666664,1.0
251,1260,22.291666666666664,1.0
252,1265,22.291666666666664,1.0
253,1270,22.291666666666664,1.0
254,1275,20.833333333333332,1.0
255,1280,20.833333333333332,1.0
256,1285,20.833333333333332,1.0
257,1290,20.833333333333332,1.0
258,1295,20.833333333333332,1.0
259,1300,19.375,1.0
260,1305,20.208333333333332,1.0
261,1310,20.208333333333332,1.0
262,1315,18.75,1.0
263,1320,18.75,1.0
264,1325,18.75,1.0
265,1330,18.75,1.0
266,1335,18.75,1.0
267,1340,18.75,1.0
268,1345,17.291666666666664,1.0
269,1350,17.291666666666664,1.0
270,1355,17.291666666666664,1.0
271,1360,17.291666666666664,1.0
272,1365,17.291666666666664,1.0
273,1370,17.291666666666664,1.0
274,1375,17.291666666666664,1.0
275,1380,17.291666666666664,1.0
276,1385,15.833333333333332,1.0
277,1390,15.833333333333332,1.0
278,1395,15.833333333333332,1.0
279,1400,15.833333333333332,1.0
280,1405,15.833333333333332,1.0
281,1410,15.833333333333332,1.0
282,1415,15.833333333333332,1.0
283,1420,14.375,1.0
284,1425,15.208333333333332,1.0
285,1430,15.208333333333332,1.0
286,1435,15.208333333333332,1.0
287,1440,13.75,1.0
288,1445,13.75,1.0
289,1450,13.75,1.0
290,1455,13.75,1.0
291,1460,13.75,1.0
292,1465,13.75,1.0
293,1470,13.75,1.0
294,1475,13.75,1.0
295,1480,13.75,1.0
296,1485,12.291666666666666,1.0
297,1490,12.291666666666666,1.0
298,1495,12.291666666666666,1.0
299,1500,12.291666666666666,1.0
300,1505,12.291666666666666,1.0
301,1510,12.291666666666666,1.0
302,1515,12.291666666666666,1.0
303,1520,12.291666666666666,1.0
304,1525,12.291666666666666,1.0
305,1530,12.291666666666666,1.0
306,1535,10.833333333333332,1.0
307,1540,10.833333333333332,1.0
308,1545,10.833333333333332,1.0
309,1550,10.833333333333332,1.0
310,1555,10.833333333333332,1.0
311,1560,10.833333333333332,1.0
312,1565,10.833333333333332,1.0
313,1570,10.833333333333332,1.0
314,1575,10.833333333333332,1.0
315,1580,10.833333333333332,1.0
316,1585,10.833333333333332,1.0
317,1590,9.375,1.0
318,1595,10.208333333333332,1.0
319,1600,10.208333333333332,1.0
320,1605,10.208333333333332,1.0
321,1610,10.208333333333332,1.0
322,1615,8.75,1.0
323,1620,8.75,1.0
324,1625,8.75,1.0
325,1630,8.75,1.0
326,1635,8.75,1.0
327,1640,8.75,1.0
328,1645,8.75,1.0
329,1650,8.75,1.0
330,1655,8.75,1.0
331,1660,8.75,1.0
332,1665,8.75,1.0
333,1670,8.75,1.0
334,1675,8.75,1.0
335,1680,8.75,1.0
336,1685,7.534722222222221,1.0
337,1690,7.291666666666666,1.0
338,1695,7.291666666666666,1.0
339,1700,7.291666666666666,1.0
340,1705,7.291666666666666,1.0
341,1710,7.291666666666666,1.0
342,1715,7.291666666666666,1.0
