# d0,mq
8.711487597333312749e+01,-5.248619089957885266e-03
8.711487604525231632e+01,-5.343720463085821146e-03
8.711487611717150514e+01,-5.444240357152583046e-03
8.711487618909069397e+01,-5.550743164295513302e-03
8.711487626100988280e+01,-5.663716938102907918e-03
8.711487633292907162e+01,-5.783964628059718761e-03
8.711487640484826045e+01,-5.912247681628518201e-03
8.711487647676744928e+01,-6.049484087839844711e-03
8.711487654868663810e+01,-6.196713985653630290e-03
8.711487662060582693e+01,-6.355328532547257527e-03
8.711487669252501576e+01,-6.526808241130092718e-03
8.711487676444420458e+01,-6.712947894342164053e-03
8.711487683636339341e+01,-6.915948872112843634e-03
8.711487690828258224e+01,-7.138502485469750899e-03
8.711487698020177106e+01,-7.384112233029473289e-03
8.711487705212095989e+01,-7.656915395390530461e-03
8.711487712404014871e+01,-7.962459819169681596e-03
8.711487719595933754e+01,-8.307801865296483845e-03
8.711487726787852637e+01,-8.702424440406029624e-03
8.711487733979771519e+01,-9.159436502359733639e-03
8.711487741171690402e+01,-9.697424807511338674e-03
8.711487748363609285e+01,-1.034302155790029452e-02
8.711487755555528167e+01,-1.113019350764428601e-02
8.711487762747447050e+01,-1.213553221131574017e-02
8.711487769939365933e+01,-1.347570969516171356e-02
8.711487777131284815e+01,-1.539916912996211300e-02
8.711487784323203698e+01,-1.845212719639334129e-02
8.711487791515122581e+01,-2.456750925707371774e-02
8.711487798707041463e+01,-5.138121371272091897e-02
8.711487798707041463e+01,-5.138121371272091897e-02
8.711487798778961178e+01,-5.226951723202132721e-02
8.711487798850880893e+01,-5.324396271394500613e-02
8.711487798922800607e+01,-5.423160669438763931e-02
8.711487798994720322e+01,-5.527628733903296870e-02
8.711487799066640036e+01,-5.638368730424703212e-02
8.711487799138559751e+01,-5.756033137788563181e-02
8.711487799210479466e+01,-5.881411555436162619e-02
8.711487799282399180e+01,-6.015303780198733019e-02
8.711487799354318895e+01,-6.158764270465669211e-02
8.711487799426238610e+01,-6.312965371427613215e-02
8.711487799498158324e+01,-6.479393139968268878e-02
8.711487799570078039e+01,-6.659655467496862491e-02
8.711487799641997753e+01,-6.855852989602649605e-02
8.711487799713917468e+01,-7.070446206333691475e-02
8.711487799785837183e+01,-7.306528118055916066e-02
8.711487799857756897e+01,-7.567923851775354427e-02
8.711487799929676612e+01,-7.859501065686985699e-02
8.711487800001596327e+01,-8.187565581329443731e-02
8.711487800073516041e+01,-8.560412180439112839e-02
8.711487800145435756e+01,-8.989334785004461648e-02
8.711487800217355471e+01,-9.483662630590353193e-02
8.711487800289275185e+01,-1.007511651438231931e-01
8.711487800361194900e+01,-1.079278804544049897e-01
